考试日期,考号,成绩
2026-04-14,B078,35
2026-04-14,B091,43
2026-04-14,B010,50
2026-04-14,B082,50
2026-04-14,B094,50
2026-04-14,B071,49
2026-04-14,B035,47
2026-04-14,B092,47
2026-04-14,B017,46
2026-04-14,B096,46
2026-04-14,B060,45
2026-04-14,B031,44
2026-04-14,B097,44
2026-04-14,B007,43
2026-04-14,B023,43
2026-04-14,B042,42
2026-04-14,B005,42
2026-04-14,B088,41
2026-04-14,B061,41
2026-04-14,B003,41
2026-04-14,B034,40
2026-04-14,B027,40
2026-04-14,B028,39
2026-04-14,B037,39
2026-04-14,B059,39
2026-04-14,B012,38
2026-04-14,B029,38
2026-04-14,B044,37
2026-04-14,B041,37
2026-04-14,B026,36
