考试日期,考号,成绩
2026-04-14,D130,47
2026-04-14,B055,44
2026-04-14,A019,44
2026-04-14,C113,43
2026-04-14,B053,40
2026-04-14,A034,40
2026-04-14,D129,37
2026-04-14,B074,37
2026-04-14,A007,37
2026-04-14,B046,36
2026-04-14,B041,36
2026-04-14,A033,36
2026-04-14,A011,36
2026-04-14,B078,35
2026-04-14,D133,34
2026-04-14,C117,34
2026-04-14,B045,34
2026-04-14,C116,33
2026-04-14,B042,33
2026-04-14,C095,32
2026-04-14,B068,32
2026-04-14,B028,32
2026-04-14,C104,31
2026-04-14,C084,31
2026-04-14,B058,31
2026-04-14,B049,31
2026-04-14,A024,31
2026-04-14,A022,31
2026-04-14,A010,31
2026-04-14,C091,30
2026-04-14,B057,30
2026-04-14,A003,30
2026-04-14,C088,29
2026-04-14,C081,29
2026-04-14,B056,29
2026-04-14,A032,29
2026-04-14,A018,29
2026-04-14,A004,28
2026-04-14,D138,27
2026-04-14,C105,27
2026-04-14,C096,27
2026-04-14,B079,27
2026-04-14,A027,27
2026-04-14,A025,27
2026-04-14,C123,26
2026-04-14,C083,26
2026-04-14,B069,26
2026-04-14,B067,26
2026-04-14,B066,26
2026-04-14,B061,26
2026-04-14,B047,26
2026-04-14,A037,26
2026-04-14,A030,26
2026-04-14,C106,25
2026-04-14,B076,25
2026-04-14,B065,25
2026-04-14,B050,25
2026-04-14,A038,25
2026-04-14,A029,25
2026-04-14,A014,25
2026-04-14,A006,25
2026-04-14,A001,25
2026-04-14,D137,24
2026-04-14,D135,24
2026-04-14,D115,24
2026-04-14,B048,24
2026-04-14,B070,23
2026-04-14,B059,23
2026-04-14,A023,23
2026-04-14,A021,23
2026-04-14,A020,23
2026-04-14,A016,23
2026-04-14,D127,22
2026-04-14,D134,22
2026-04-14,C086,22
2026-04-14,B077,22
2026-04-14,B052,22
2026-04-14,A008,22
2026-04-14,A005,22
2026-04-14,A002,22
2026-04-14,C102,21
2026-04-14,C100,21
2026-04-14,B075,21
2026-04-14,B051,21
2026-04-14,C108,20
2026-04-14,A026,20
2026-04-14,C111,19
2026-04-14,C103,19
2026-04-14,C094,19
2026-04-14,C099,18
2026-04-14,A017,18
2026-04-14,C124,17
2026-04-14,C122,17
2026-04-14,C101,17
2026-04-14,A035,17
2026-04-14,C109,16
2026-04-14,C090,16
2026-04-14,D136,15
2026-04-14,B071,15
2026-04-14,B044,15
2026-04-14,D128,14
2026-04-14,C098,14
2026-04-14,C097,14
2026-04-14,A031,14
2026-04-14,A015,14
2026-04-14,D131,13
2026-04-14,C110,12
2026-04-14,D126,11
2026-04-14,B073,10
2026-04-14,C125,未考
2026-04-14,D140,未考
2026-04-14,D139,未考
2026-04-14,B072,未考
2026-04-14,B040,未考
2026-04-14,A039,未考
2026-04-14,A013,未考
