考试日期,考号,成绩
2026-04-14,B078,52
2026-04-14,B091,59
2026-04-14,B082,59
2026-04-14,B032,58
2026-04-14,B094,57
2026-04-14,B071,56
2026-04-14,B096,56
2026-04-14,B023,55
2026-04-14,B042,54
2026-04-14,B088,54
2026-04-14,B027,53
2026-04-14,B061,53
2026-04-14,B060,52
2026-04-14,B031,51
2026-04-14,B034,51
2026-04-14,B028,50
2026-04-14,B059,50
2026-04-14,B044,49
2026-04-14,B029,49
2026-04-14,B041,48
2026-04-14,B026,48
2026-04-14,B037,47
2026-04-14,B005,47
2026-04-14,B017,46
2026-04-14,B012,46
2026-04-14,B097,45
2026-04-14,B035,45
2026-04-14,B007,44
2026-04-14,B003,43
2026-04-14,B010,42
