考试日期,考号,成绩
2026-04-14,A001,未考
2026-04-14,A002,39
2026-04-14,A003,36
2026-04-14,A004,44
2026-04-14,A005,49
2026-04-14,A006,44
2026-04-14,A007,50
2026-04-14,A008,38
2026-04-14,A010,41
2026-04-14,A011,43
2026-04-14,A013,未考
2026-04-14,A014,42
2026-04-14,A015,54
2026-04-14,A016,50
2026-04-14,A017,37
2026-04-14,A018,未考
2026-04-14,A019,48
2026-04-14,A020,46
2026-04-14,A021,40
2026-04-14,A022,42
2026-04-14,A023,41
2026-04-14,A024,43
2026-04-14,A025,30
2026-04-14,A026,37
2026-04-14,A027,36
2026-04-14,A028,36
2026-04-14,A029,49
2026-04-14,A030,48
2026-04-14,A031,46
2026-04-14,A032,46
2026-04-14,A033,44
2026-04-14,A034,37
2026-04-14,A035,35
2026-04-14,A037,未考
2026-04-14,A038,43
2026-04-14,A039,44
2026-04-14,B040,未考
2026-04-14,B041,未考
2026-04-14,B042,38
2026-04-14,B044,46
2026-04-14,B045,未考
2026-04-14,B046,50
2026-04-14,B047,50
2026-04-14,B048,39
2026-04-14,B049,未考
2026-04-14,B050,47
2026-04-14,B051,未考
2026-04-14,B052,49
2026-04-14,B053,46
2026-04-14,B055,47
2026-04-14,B056,45
2026-04-14,B057,48
2026-04-14,B058,47
2026-04-14,B059,未考
2026-04-14,B061,47
2026-04-14,B065,43
2026-04-14,B066,35
2026-04-14,B067,42
2026-04-14,B068,35
2026-04-14,B069,46
2026-04-14,B070,43
2026-04-14,B071,41
2026-04-14,B072,34
2026-04-14,B073,38
2026-04-14,B074,41
2026-04-14,B075,36
2026-04-14,B076,53
2026-04-14,B077,35
2026-04-14,B078,52
2026-04-14,B079,43
2026-04-14,C081,未考
2026-04-14,C083,46
2026-04-14,C084,未考
2026-04-14,C086,46
2026-04-14,C088,35
2026-04-14,C090,未考
2026-04-14,C091,39
2026-04-14,C094,40
2026-04-14,C095,45
2026-04-14,C096,48
2026-04-14,C097,44
2026-04-14,C098,38
2026-04-14,C099,44
2026-04-14,C100,39
2026-04-14,C101,38
2026-04-14,C102,34
2026-04-14,C103,40
2026-04-14,C104,47
2026-04-14,C105,35
2026-04-14,C106,44
2026-04-14,C108,37
2026-04-14,C109,26
2026-04-14,C110,47
2026-04-14,C111,37
2026-04-14,C113,42
2026-04-14,C122,43
2026-04-14,C116,46
2026-04-14,C124,52
2026-04-14,C117,31
2026-04-14,C134,42
2026-04-14,C121,未考
2026-04-14,C135,34
2026-04-14,C140,50
2026-04-14,D115,27
2026-04-14,D126,34
2026-04-14,D127,36
2026-04-14,D128,未考
2026-04-14,D129,30
2026-04-14,D130,24
2026-04-14,D131,40
2026-04-14,D133,41
2026-04-14,D135,48
2026-04-14,D136,47
2026-04-14,D137,38
2026-04-14,D138,33
2026-04-14,D139,未考
2026-04-14,D140,21
